news_article,label
"POLICE INVESTIGATE ARSON CLAIM IN FIRE THAT TOOK FIVE LIVES
Police-Fire
IPOH, June 1 (Bernama) -- Police will record statements from several
witnesses in connection with the allegation that yesterday's fire in Taman
Soon Chun, Gunung Rapat, that took five lives was the work of arsonists.
Ipoh OCPD ACP Jalaluddin Ibrahim said the case, which was earlier
classified as sudden death, would now be investigated under section 302 of
the Penal Code, for murder.
""No suspect has been detained and police are awaiting the finding of
Fire and Rescue Department on the cause of the fire,"" he told a news
conference here today.
Jalaluddin said the cause of the fire and the motive were expected to
be known in two weeks at the latest.
The five people who died in the 3.30am fire were Chai Kim, 91, his son
Chai Kar It, 67, granddaughter Chai Moi Fong, 32, her husband, Tan Wei Lim,
32, and a cousin, Lim Kien Hua, 29. Another family member was injured and
was warded at the Ipoh Hospital.
Several neighbours claimed that they saw a white Perodua Kancil car in
front of the house just before the fire started.
Wei Lim's father, Tan Bin Keong, 65, also claimed that Moi Fong, who
been married and divorced before, had reported receiving threats.
-- BERNAMA
PBA RAS MAI JK
",arson
"JAPAN: KINKAKUJI TEMPLE HOLDS CEREMONY RECALLING 1950 ARSON
KYOTO, July 1 (Bernama-Kyodo) -- A Buddhist ceremony was held today at
Kinkakuji temple in Kyoto, a day before the beginning of the 50th year
after a young monk burned down the temple.
Officials renewed pledges not to repeat ""past mistakes"" in the ceremony
conducted by Raitei Arima, head priest at the temple, which has been
designated as a Japanese national treasure.
After the ceremony, about 60 temple officials and local firefighters
conducted training exercises aimed at preventing the temple being destroyed
again by fire.
""We should admonish ourselves so that such a thing does not happen
again,"" said Taizan Egami, a temple official who was a 14-year-old-monk
when the fire occurred on July 2, 1950.
Admission to the temple will be free of charge Friday to express
gratitude for the national campaign to rebuild the temple.
--Bernama-Kyodo
RR
",arson
"NASI KANDAR RESTAURANT OPERATOR LOSES MPV IN ARSON ATTACK
Arson-MPV
BUKIT MERTAJAM, Feb 2 (Bernama) -- A nasi kandar restaurant operator
lost his multi-purpose vehicle (MPV), costing more than RM200,000, when it
caught fire believed to be due to an arson attack early this morning.
Abdul Aziz Sheik Ahmad, 40, the owner of Restoran Dinas Nasi Kandar,
realised that his Nissan Elgrand, parked in front of his house in Taman
Alma Jaya here, was on fire after hearing an explosion at about 5am.
He rushed to open his house door after hearing the explosion and saw
his MPV engulfed by flames. With the help of family members and neighbours,
he managed to put out the fire.
When contacted, he said his house was also splattered with blood and
red paint and found a package containing a bloodied cow's head in the front
yard.
He lodged a report on the incident at the Machang Bubuk police station
at 11am.
Abdul Aziz, who is also former Permatang Pauh Umno Youth treasurer, did
not dismiss politics as the motive for the attack as he claimed not to have
any enemies in business.
He said he was once told last year of people wanting to burn down his
garment factory in Alma but did not lodge a police report as it did not
happen.
Seberang Perai Tengah district police chief ACP Mohd Anil Shah
Abdullah, when contacted, confirmed receiving today's report from Abdul
Aziz.
He said the case was being investigated under Section 427 of the Penal
Code, which carries a jail sentence of up to two years or a fine or both,
upon conviction.
-- BERNAMA
ZU ZU MO
",arson
"UNEMPLOYED CHANGES PLEA OVER ARSON
Court-Arson
KUALA LUMPUR, July 3 (Bernama) -- An unemployed man changed his plea to
not guilty at the Magistrate's Court today on a charge of setting fire to
the house of his former mother-in-law.
Lai Yong Mun, 42, had pleaded guilty to the charge on April 24 and was
released on bail of RM10,000.
He is charged with committing the offence at a house belonging to Yu
Wan Wan, 53, at No 33-1A Apartment Gemilang, Jalan 2/110A, off Jalan Klang
Lama, at about 3.30 am on April 21.
Magistrate Murshida Abd Halim set May 28 to 30 next year for the
hearing.
Lai faces a maximum 20-year jail sentence or a fine upon conviction.
In another court, Magistrate Aizatul Akmal Maharani sentenced a
transvestite to three months in jail when he pleaded guilty to offering sex
services to a police corporal masquerading as a ""customer"".
She ordered Johnson Renggan anak Gantic, 26, to serve the sentence from
the date of his arrest on April 22.
Johnson was caught committing the offence at the five-foot way in front
of Menara HSBC in Jalan Sultan Ismail at about 2.30 am on April 22.
He admitted to having waved at Corporal Prokhong Tim for the purpose of
offering him sex services for RM50.
-- BERNAMA
NJK NUA RAR MIS MGN
",arson
"JUVENILES PLEAD NOT GUILTY TO ARSON ATTEMPTS ON TWO SURAU
COURT-SURAU
MUAR, Feb 4 (Bernama) -- Three juveniles pleaded not guilty in the
Magistrate's Court here today to attempted arson on two surau (Muslim parayer
halls) here, last month.
One of the boys is also charged with lodging a false police report, also
last month.
Two of the youths are 17 while other is 16. The 17-year-olds are waiting for
their Sijil Pelajaran Malaysia (SPM) examination results while the 16-year-old
is a school dropout.
The trio have been charged under Section 436 of the Penal Code with
committing mischief by fire or explosive substance with intent to destroy a
building which is ordinarliy used as a house of worship.
They are alleged to have made the arson attempts on Surau Parit Beting in
Jalan Salleh between 12.30am and 1am on Jan 21 and on Surau Silaturrahim along
Jalan Ismail between 2am and 3.15am the same day.
If convicted, they are liable to be jailed up to 20 years and fined.
Magistrate Lydiana Mansor set bail at RM20,00 for each of them and April 6
for re-mention.
Meanwhile, one of the 17-year-olds also pleaded not guilty to lodging a
false police report at the Muar police headquarters at around 3.45am the same
day.
For this, he was charged under Section 182 of the Penal Code and can be
jailed up to six months or fined up RM2,000 or both, if convicted.
Lydiana imposed bail of RM5,000 for this charge and also set April 6 for
re-mention.
Deputy Public Prosecutor Umar Saifuddin Jaafar appeared for the prosecution.
The 16-year-old and one of the 17-year-olds posted bail while the other
17-year-old who could not, was sent to the Bukit Baru juvenile home in Melaka.
-- BERNAMA
SMK SMK HA
",arson
"KELANTAN FIRE DEPT UNCOVERS THREE CASES OF ARSON
Arson
KOTA BAHARU, Feb 5 (Bernama) -- The Kelantan Fire and Rescue Department
uncovered three cases of arson in the state last year, said its director
Abdul Ghani Daud.
He said the three suspected arson cases were in Tanah Merah involving a
supermarket, tyre shop and retail store, causing losses of some RM4
million.
""There were tell-tale signs that the fire in the three incidents was
the work of arsonists"", he told reporters at the department's Hari Raya
Aidil Fitri function here today.
Abdul Ghani said the other factor which pointed that the fire was not
accidental was that the owner had removed valuable items from the premises
before the fire started.
""One of the premises was located only about two km from the fire
station, however when firemen reached the schene, the building was already
totally razed,"" he said.
Abdul Ghani said 459 cases of fire was reported in the state last year
with losses amounting to some RM18 million. and Firemen managed to save
RM27 million worth of property during the same period.
Four people were also killed in the fires, he said.
He said a special fire awareness programme would be held for tobacco
curers this year and 27 blazes last year involved tobacco barns.
--BERNAMA
mnr zul
",arson
"ARSON: SIBU POLICE GOING ALL OUT TO NAB PERPETRATORS
Police-Crimes
SIBU, April 5 (Bernama) - The police are leaving no stones unturned in
their efforts to track down those responsible for at least six attempted
cases of arson using petrol bombs and rocket flares.
This assurance was given by the Sibu District Police Chief, ACP
Sebastian Gaong, here this morning.
He had earlier briefed the Minister of Infrastructure Development and
Communications, Datuk Seri Wong Soon Koh, on the crime situation in the
town for the first three months of this year.
Also present were the Assistant Minister of Environment and Public
Health, Dr Soon Choon Teck, and Pelawan and Bukit Assek State Assemblymen,
Vincent Goh and Daniel Ngieng, respectively.
The cases reported occurred either late at night or in the early
mornings between December last year and now.
The most recent case was on March 30 when at 2.45am two unidentified
men fired two rocket flares at the senior officers' flats at the Customs
Housing area in Ria Road but missed their target.
""We are still investigating these cases from every angle. We will also
appreciate public information very much.""
Commenting on the discovery of a petrol bomb outside the compound of
the Central Police Station here about two weeks ago, Gaong denied it was
targetted at the station.
""It will take sheer guts as not less than 20 policemen were in the
building at the material time. Others were having drinks at a nearby
24-hour coffeeshop after an anti-crime operation from 10pm to 2am.
""The station building is only about 10 metres away from the main road,""
he said.
If it was really the intended target, the person concerned would have
had no problem in hurling it there, he said.
Gaong said the so-called bomb, a soft drink bottle filled with petrol
and a piece of cloth as its wick, looked more like an makeshift torch.
Meanwhile, he said between January and March this year, a total of 310
different criminal cases were reported, an increase of 48 cases, or 18.3
per cent, compared to the corresponding period last year.
-BERNAMA
ESS ESS SRI
",arson
"ARSON SUSPECTED IN FIRE THAT RAZED 24 SQUATTER HOUSES
KAJANG, Jan 6 (Bernama) -- Police suspect arson in a fire that razed 24
squatter houses in Kampung Kenangan, Batu 18, Jalan Hulu Langat here today.
A Kajang Fire and Rescue Department spokesman said initial
investigations revealed that bundles of newspapers and a bottle of fuel
were found in two empty houses at the scene. The two houses were not
affected.
""However, there was no injury reported as out of the 24 houses, only
nine were occupied,"" he said when contacted.
He said most of the houses were vacant because the residents were
ordered to move to another place before Chinese New Year to make way for
new development projects.
The spokesman said 20 firemen rushed to the scene on two fire engines
from Hulu Langat and Kajang after receiving a distress call at 4.09pm and
the fire was brought under control in seven minutes.
-- BERNAMA
MRA RV SK
",arson
"BANK EMPLOYEE HELD IN ARSON CASE
MELAKA, May 6 (Bernama) -- Another suspect has been detained to assist
police investigations into the fire which razed the handicraft complex at
the Bandar Hilir tourist belt, here, last Tuesday.
Melaka Tengah OCPD ACP Mat Drus Sudin said today the 24-year-old youth
was arrested when he surrendered himself at the police station on Friday.
The youth, who is from Alor Gajah, is a bank employee, he told
reporters.
Police arrested a 25-year-old man, who was behaving suspiciously at the
site at about 3am on Tuesday.
Police did not rule out arson as the motive of the fire which destroyed
50 handicraft stalls causing an estimated damage of more than RM500,000.
Police are awaiting reports from the chemistry department, fire
services department and Tenaga Nasional on the incident, he added. --
BERNAMA
MOZ MTA TS
",arson
"POLICE LAUDED FOR SWIFT ACTION IN CHURCH ARSON ATTACKS
CHURCH-POLICE
PETALING JAYA, Jan 8 (Bernama) -- The police have been commended for their
swift action in the three church arson attacks in the Klang Valley.
Reverend Phiilip (rpt) Phiilip Muthu, chief priest of the Assumption Church
here, one of the churches fire-bombed, said he called Inspector General of
Police (IGP) Tan Sri Musa Hassan after the incident took place and the police
chief responded immediately.
""This morning, as soon as the incident happened, I called the IGP and he
immediately referred me to the 'balai' (Petaling Jaya police headquarters).
""The policemen there were very helpful and cooperative. They came very fast
and there was a thorough investigation by them,"" he said, and expressed his
thanks to the police.
The church did not suffer damage because the molotov cocktail which was
hurled onto the pavement in front of the church did not explode, he said.
Rev Muthu said he hoped that the police and government would step up
security for churches and other places of worship.
He said he was a bit concerned because about 6,000 worshippers had attended
Sunday mass there.
Minister in the Prime Minister's Department Tan Sri Dr Koh Tsu Koon, who
visited the church, was also pleased with the police response and credited them
for a good job done.
The National Evangelical Christian Fellowship (NECF) Malaysia also praised
the police and the fire and rescue department.
""Though, to date, no casualties have been reported, we want to commend the
swift action taken by both the police and the fire and rescue department.
""We hope that with adequate investigations, they will be able to probe the
blaze and speedily bring those responsible to justice,"" it said in a statement.
Besides the Assumption Church, the Life Chapel, also in Petaling Jaya, and
the Metro Tabernacle Church in Desa Melawati, Kuala Lumpur, were fire-bombed.
Only the molotov cocktail hurled at the Metro Tabernacle Church exploded,
sparking a fire.
In SHAH ALAM, Selangor CID deputy chief ACP Omar Mammah said police
recovered pieces of broken bottle and gauze bandage used as the wick for the
molotov cocktails hurled at the Petaling Jaya churches.
He said police conducted patrols at all houses of worship in the area to
prevent further incidents.
-- BERNAMA
SZR NF TCL FIA SYA MGN
",arson
"CHURCH ARSON SHOWS DISRESPECT FOR ONE'S OWN RELIGION - RAIS
RAIS-RESPECT
KUALA LUMPUR, Jan 8 (Bernama) -- Information Communication and Culture
Minister Datuk Seri Dr Rais Yatim says torching churches shows disrespect for
the teachings of one's own religion as all religions preach to the followers to
do good.
Condemning the action of hurling home-made bombs at three churches in the
Klang Valley by unknown individuals late yesterday and early today, Rais said
extremists like these should not exist in a plural society like Malaysia.
He said the action was against Islamic teachings which enjoined Muslims to
do good, to live in harmony and to respect one another.
""All societies disapprove such action,"" he said after visiting the Tun Abdul
Razak Broadcasting and Information Institute (IPPTAR) and launching its new
hostel at Angkasapuri, here, today.
He urged Malaysians to face the problem together and act fast to end it.
""If not, Malaysia will earn a bad name in the world as having an intolerant
society.
""It's sad that this (church arson) has happened and we need to create
awareness. Malaysia cannot afford to have such destructive elements,"" he said.
Rais also urged the people to report to the police immediately if they knew
of anyone with inclinations to create trouble under the current situation.
Earlier, Rais said he wanted IPPTAR to play a more important role in
training to produce quality television and radio announcers, programme hosts and
news readers in terms of language proficiency and delivery.
He said the recruitment procedure should also be tightened to get the best
talents, besides providing adequate training.
Rais said RTM would also cooperate with the private television and radio
stations to create a stronger broadcasting industry in the country.
-- BERNAMA
VMP TCL MO
",arson
"POLICE BELIEVE MORE THAN TWO SUSPECTS INVOLVED IN CHURCH ARSON
CHURCH-POLICE
KUALA LUMPUR, Jan 8 (Bernama) -- Police believe more than two suspects were
involved in setting a church on fire in Desa Melawati, Wangsa Maju about 12
midnight (Thursday) said Kuala Lumpur Police Chief Datuk Wira Muhammad Sabtu
Osman.
Wira said based on information, witnesses saw two motorcycles parked near
the church around midnight and witnesses also saw images of someone hurling
something towards the three-storey church before an explosion destroyed about 80
per cent of the ground floor which housed the administration office.
""Initial investigations reveal that the suspects had broken all the glass
window panels in the ground floor of the building before pouring what was
believed to be petrol, into the building.
""We believe they used a spanner for breaking the glass panels because police
found a spanner and petrol container at the scene plus two burnt helmets in
front of the church,"" he told reporters here today.
He said police have yet to determine the motive for the attack on the church
but did not rule out the possibility that the incident was related to the High
Court's decision to allow the word ""Allah"" to be used by the publisher of the
Catholic Weekly-The Herald.
Wira also urged the public to refrain from issuing any statements or
comments because any reaction may cause racial sentiments.
About 1,500 Christians are believed to frequent the 12-year-old Metro
Tabernacle Church for their church activities.
Meanwhile, about 30 church-goers started removing whatever equipment that
was salvaged from the fire, when police removed the restriction barriers.
The act also drew criticism from the country's leaders, including past and
present Prime Ministers.
-- BERNAMA
NIM MHA KHY JRL
",arson
