job_position,company,location,career_level,qualification,years_of_exp,job_type,job_spec,job_details,salary,posted_date
Data Analyst,myNEWS HOLDINGS BERHAD,Selangor,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin","Job Responsibilities
Support enterprise wide analytics by collaborating with other departments to understand business reporting needs and requirements.
Design, development and maintenance of of reporting package.
Responsible in variety of data analysis - sales data, products group data and etc.
To ensure accurate data provided to the management and make an effective decision.
Responsible for reports tracking process and preparation of data presentation.
Create and maintaining database by utilizing SQL and Tableau;
Design/construct production or ad-hoc reports.
Self-reliant and self-motivated to understand and develop technical solutions.
Other duties as assigned by management.
Job Requirements
Candidate must possess at least a Bachelor's Degree in Computer Science/Information Technology, Mathematics or equivalent.
Graduates in Information Technology / Statistics / Economics / Maths / Analytics encourage to apply.
Minimum of 1 year hands-on experience in Tableau is a must.
Good and relevant experience in sales data analysis.
Ability to communicate to all levels.
Able to work under pressure with minimum supervision.
Good time management to meet timeline and team player.
Be details oriented, self-driven and problem solving.
Strong verbal and written communication skills.
By joining us, you will have great opportunity to collaborate and positively influence leaders and teams, as you will be an excellent communicator to build strong and meaningful relationships with key stakeholders. Responsible with disseminating reliable information and meaningful analysis across business units. To contribute and support business intelligence and decision making by developing efficient methods for extracting data from source systems, automating processes, developing end-user reports, and expanding the use of new technologies. This position reports to Head of IT.","MYR 4,000 - MYR 6,000",Posted 16 hours ago
"Data Science, Information Technology",Top Glove Corporation Berhad,Selangor,Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Computer/Information Technology, IT-Software","Top Glove is embarking into a world of possibilities with a clear purpose to inspire our employees. We encourage consistent application of innovation and creativity, whether you are based in Malaysia or abroad, we find ways to break through the ordinary at the same time preserve our Corporate Value (R.I.V.E.R), overcome challenges and being proactive are our integral fundamentals in UNITING each and every Top Glovers. This is YOUR chance! As we are embarking into a journey to be listed in Global Fortune 500 employer in year 2030, we need more talent like you to join us. 
Shape YOUR future with Top Glove, The World Largest Manufacturer of Gloves!
Your Mission: 
User requirement study, Prepare functional and technical specification, Perform Unit test, Conduct UAT
Conduct training, Roll out to user
Support user after go live
Clean, massage and organize data
Perform descriptive statistic & analysis to develop insight
Build data models and solve business need
Develop robotic process automation model to speed up bussiness process
Develop ML/AI for smart analytics, smart inspection, intelligent process to reduce time/ cost/ mistake and prevent losses.
Any ad-hoc tasks given by superior from time to time. 
What we are looking for: 
Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology or equivalent.
At least 2 year(s) of working experience in the related field is required for this position (Fresh graduates are encouraged to apply).
Fluent in Malay and English (spoken/writing).
Skills required: Python, R programming, Machine Learning (Scikit learn), Deep Learning (Tensor Flow), Big Data, Hadoop, LINUX, Perl language, MySQL, PHP, SPSS, NGS analysis – transcriptome analysis (de novo assembly and annotation).",,Posted 13 hours ago
Data Scientist,Hannover Re,Kuala Lumpur,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Computer/Information Technology, IT-Software","Job Purpose
Provide subject matter expertise to successfully deliver end-to-end analytics solutions for HRMB clients as time efficiently as possible.
To discover relevant information required through hidden vast amount of data to make smart decisions and to deliver better products. Applying data mining techniques, statistical analysis that allows users able to make a valuable decision
Key Responsibilities
• Support the building of solutions and service offerings for the Analytical Services teams including key aspects of opportunity identification/qualification and value proposition, as well as typical titles or department areas who would be most likely to benefit from and/or purchase the offering.
• Grow and maintain relationships in new parts of the client business organization to generate demand for solutions in new areas
• Understand client business problems and develops POCs which articulate problems along with Analytical Service solutions. This includes scoping, design and implementation of end-to-end analytics services for clients.
• Lead small project teams to successfully deliver end-to-end analytics solutions for HRMB clients as time efficiently as possible.
• Serves on consulting/project engagements as a thought partner and subject matter expert for the delivery team.
• Monitor and ensure client satisfaction especially regarding delivery execution and delivery quality
• Support our central data-focused teams and also spend time working with clients and other business and service units to build HRMB’s broader data ecosystem.
• Represent team for internal cross-departmental requests and discussions, specifically those related to services projects.
• Research leading trends on analytics-driven solutions and industrial best practices for insurance and related fields.
• Provide mentorship and support for other (more junior) members of the analytical services team.
• Develop and support a team culture that is in line with HRMB’s core values and strategic principles.
• Support the expansion of the services delivery capability, including hiring and staff development.
• Coach and develop the analytical services team to deliver results of the highest quality consistently.
Job Requirements

• Technical quantitative BS degree, combined with modelling work experience or training equivalent to an MS Analytics degree.
• Working knowledge of modelling (regression, machine learning, feature selection, dimension reduction, validation), data (extracting, preparing, wrangling, validating), and building analytics pipelines.
• Internal or external consulting experience in data analytics with a professional services firm, an internal strategy/analytics group, with broad exposure and experience in a variety of circumstances and a proven record of success.
• Proficiency in advanced analytics tools and programming languages e.g., R, Python as well as standard data wrangling tools e.g. SAS, SQL, Qlikview",,Posted on 2-Jun-21
Data Analyst,TNG Digital Sdn Bhd,Kuala Lumpur,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Full-Time,"Computer/Information Technology, IT-Software","TNG Digital is a joint venture between Touch ‘n Go and Ant Financial (Alibaba). Combining both Touch ‘n Go decades of micropayments experience in Malaysia & Alipay’s cutting edge technology: TNG Digital aims to innovative solutions to revolutionize e-payments solutions nationwide.
You will be exposed to the latest Fintech technology and be part of the Business Intelligence team to work with our counterpart (Alibaba) and a great opportunity to learn.
JOB RESPONSIBILITIES
To design and build a companywide BI application for the entire business unit to become the enabling factor for business unit to make data driven strategy and decisions.
To be constantly intune with business goals, objectives and strategies of the organization and develop databacked business strategies to ensure the business outcomes aligned with broader organizational picture.
Act as a thought leader in analytics to the business and proactive in identifying opportunities 
Be seen as the Go-To person for insights and analytics
Provide guidance to business units with aim of achieving ability performing deep analysis using BI application
Enforce software quality assurance on the system deliverables toachieve zero defect in post-production deployment, by performing sufficient and effective acceptance testing and reviews.

REQUIREMENTS
Bachelor's Degree or Professional Qualification in Computer Science / Information Technology or other related discipline.
Experienced in creating dashboards using dash boarding tools such as Power BI.
Familiar with SQL programming.
Any additional professional qualifications will be an added advantage.
Able to work independently in fast-paced working environment.",,Posted on 1-Jun-21
Data Scientist,Ambition Group Malaysia Sdn Bhd,Kuala Lumpur,Non-Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Computer/Information Technology, IT-Software","Company's commitment to enrich lives in building a sustainable future
United, trust and respect for each other
Great career development
One of the leading fintech organization in Malaysia, our client strives to create a high performing talent force with entrepreneurial mindsets. In the midst of growing their talent base, they are on the lookout for a Data Scientist to develop related analytics solutions for different segments of the esteemed business.The Data Scientist must be able to work independently in develop, implementing and evaluate financial forecasting models via advanced predictive methods.A qualified candidate should possess the following:
Background in Credit Risk modelling will be prioritized
Possess end to end model development experience
Proficient in Python or R scripting
Know ins-and-outs of financial forecasting models or credit scoring models
Candidates with financial institution's background preferred
Kindly contact Charmaine Cheng on 603-2300 7244 or APPLY NOW by clicking the button below.
For similar opportunities, please visit www.ambition.com.my. Only shortlisted candidates will be notified.","MYR 8,000 - MYR 15,000",Posted on 31-May-21
Data Analyst (BI),AGENSI PEKERJAAN JOBSTREET.COM SDN BHD,Multiple work locations,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",4 years,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin","Summary : 
This position has a primary responsibility for reporting and analytics, systems integration, and data governance. You will demonstrate a deep understanding of business intelligence and have an expert-level experience with analytical, data mining and visualization tools such as SharePoint Performance Point, Power BI, SSRS, CSS, JavaScript, HTML5.
This role requires a thorough, detailed, creative, diligent, and sharp analytical candidate. Must have exceptional BI experience along with the right attitude and excellent customer facing skills
Job Scope :
Translation of business requirements into accurate and interactive data visualizations and analytics that enable management and other stakeholders to make informed decisions.
Drive data mining & data science initiatives
Review reports to determine basic characteristics, such as origin and report flow, format, frequency, distribution, and purpose or function of report.
May prepare and issue instructions concerning generation, completion, and distribution of reports according to new or revised practices, procedures, or policies of reports management.
Examine and evaluate purpose and content of business reports to develop new, or improve existing, format, use, and control.
Recommend the establishment of new or modified reporting methods and procedures to improve report content and completeness of information
Produce associated documentation including functional specifications, testing plans and support documentation.
Understand and comprehend new system changes as they affect data, reports, and reporting systems.
Confer with team members originating, handling, processing, or receiving reports to identify problems and to gather suggestions for improvements.
Manage internal and external stakeholders
Provide support and coaching to application support staff and associated team members
Provides assistance to support existing infrastructure where appropriate
Job Requirements :
Candidate must possess at least a Bachelor's Degree and at least 3-5+ years’ experience in Business Intelligence
Extensive working knowledge and familiarity of the following:
Demonstrable strong data analysis and data mining skills (T-SQL and MDX)
Strong data visualisation skills using SSRS & SharePoint Performance Point.
Exposure to Power BI Suite is desirable
Knowledge of CSS, JavaScript, HTML5
Demonstrable experience with Business Intelligence tools in the Microsoft BI stack (SSAS and SSIS).
Strong communication skills with the ability to collaborate and contribute to a team positively.
Strong analytical skills with the ability to translate business needs into technical solutions.
The ideal candidate will have some experience as a software developer.
High cognitive ability to problem solving",,Posted on 1-Jun-21
Senior Data Analyst,Flow Analytics Sdn Bhd,Kuala Lumpur,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",2 years,Full-Time,"Computer/Information Technology, IT-Software","You will be a crucial team member of a fast-growing data analytics consulting team, eager to help e-commerce businesses grow using the power of data analytics to make the most effective decisions.
You are intellectually curious, logical, with patience in guiding others in identifying, experimenting and testing hypotheses, uncovering insights and measuring effectiveness of action plans.
More importantly, you are proactive in asking questions, learning and solving problems, whether they are technical or people oriented - to create a culture of radical transparency and excellence.
Responsibilities
Build clear visualizations in the form of reports and dashboards to convey complicated data to non-technical audience
Develop and enhance data models to support the visualizations and analysis required
Communicate actionable insights with e-commerce clients that align with their strategic goals

Qualifications
Bachelor's degree in Computer Science, Statistics, Applied Mathematics or equivalent experience
2 - 5 years' Business Intelligence and Consulting experiences preferred
Has experience managing stakeholders or clients
Basic proficiency in SQL or Python
Familiar with overall concepts and best practices of data engineering, data visualization, business analytics and storytelling for Business-to-Consumer (B2C) sales, marketing and financial applications.
At least 1 year working experience with 2+ of the following: cloud computing platforms such as Google Cloud Platform or Amazon Web Services; modern cloud-based business intelligence and analytics tools e.g. Microsoft Power BI, Google Data Studio, Google Analytics, Tableau, Looker; CRM platforms such as Salesforce.","MYR 4,500 - MYR 8,500",Posted 8 hours ago
Data Scientist,ExxonMobil Malaysia,Kuala Lumpur,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)",3 years,Full-Time,"Sciences, Actuarial/Statistics","What you will be doing:
Apply various data science technologies (statistical analysis, machine learning, and pattern recognition and data visualization) along with domain knowledge and subject-specific models to solve scientific, engineering, manufacturing and commercial problems
Develop, deploy and sustain applications in the downstream business using advanced quantitative methods
Collaborate with multi-disciplinary teams to develop data-driven solutions utilizing the domain knowledge where possible
Initiate new impactful data science opportunities from other teams in the business and use data visualization tools to derive insights from data
What you should have:
A degree in Data Science or related discipline (Data Science, Statistics, Engineering, Computer Science, Applied Mathematics, Operations Research or other Science disciplines)
Preferably 2-3 years of work experience in a data-driven modeling
Working knowledge in one or more of the following:
Machine learning/statistical learning methodologies such as regression, classification, unsupervised learning, and time series analysis
Programming skills in a scripting language like Python, R or MATLAB
Clean, transform, merge and engineer data from different sources
Design simple user interfaces such as dashboards and communicate analytical findings to senior management and experts from other domains
Please submit your application online:
https://exxonmobil.co/37IJn5C
Please be informed that only shortlisted candidates will be notified.
Thank you for your interest in ExxonMobil.",,Posted on 31-May-21
Snr Data Scientist - Chapter Lead Pricing Specialist,RHB Banking Group,Kuala Lumpur,Senior Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin","Primary Objective:
To actively lead, participate and contribute in identification of business use-cases for advanced analytics solution; design, build, test, and execution for Group Retail Banking & Group Business Banking to uplift business revenue or in cost optimization efforts resulting in P&L Impact
To develop advanced analytics solution focusing mainly on development of Pricing and forecasting models for GRB and GBB on Credit Card, Loans, FDs
To develop solutions focusing on Risk Management Principles evaluating Risk versus Rewards equations by influencing on Segment Pricing for Risks
To manage Model Development, Governance & Ownership of Models employed at Analytics CoE
Key Responsibilities:
To develop Advanced analytics solutions (Models) focusing mainly on development of Pricing and forecasting models for GRB and GBB on Credit Card, Loans, FDs
To Deliver on the Agreed Business Revenue or Cost Value Goal Outcome
To conduct regular review sessions with respective Retail stakeholders, SME and Commercial Banking to ensure alignment on data-solutions, deliverables and standards against Business Challenges.
To Knowledge Transfer on Businesses’ P & L of Business Units and track performances of the project executions
To Conceptualize and Develop Data Monetization Use cases
To Engage Risk Management and Collaborate and joint-analytics on Risk versus Reward opportunities valuate including pricing decisions (leveraging data and prediction models)
To Work closely with business owners to address business problem using advanced data analytics solutions to improve Portfolio Management
To be embedded into business squad team in Agile methodology for better business knowledge improvement and provide value to business
To Pilot advanced analytics methods, tools, and advanced analytical platforms
To Identify, Design, develop & execute the required analytical algorithms, techniques, and statistical methods to address and then solve business problems through data solutions
To Understand the algorithms/methodologies related implications of advanced analytics solutions, and assist in defining the solutions to support any future business requirements
Requirements:
Bachelor Degree - Economics, Finance, Math, Statistics or Computer Science.
Experienced lead in Engaging Business teams on Business Values and good understanding of Core P & L impact Management
Min. 8 years’ experience in analytical and statistical modelling related roles (banking & insurance experience is a plus)
Min 3 years experiences in modelling techniques; developing and implementing models (Response, pricing or optimization models for Retail businesses)
Core understanding of Risk Management critierias to enable Risk versus analysis
Proficient in SAS Programming (minimum 6 years) and Proficient Python Programming Language
Ability to generate analytical insights to business problems
Project Management
Present and communicate with Clarity the analytical solutions
Work in Agile Environment
Deep expertise in data mining, analytical techniques & solutions
Hands on experience in handling & managing large quantum of data via appropriate tools & techniques
Excellent understanding of relevant Big Data tools like SAS, Tableau","MYR 15,000 - MYR 25,000",Posted on 2-Jun-21
Data Analytics Instructor,AKADEMI GA SDN. BHD.,Kuala Lumpur,Senior Executive,"Professional Certificate, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Contract,"Sciences, Actuarial/Statistics","Data Analytics Instructor - All Application MUST be submitted via General Assembly (akademiga.com)
We are looking for experts in data analytics to become part of our pool of expert instructors. By joining us, you’ll have the opportunity to share your knowledge with others, develop your mentorship and teaching skills, build your personal brand and join a global community of data analytics experts. Our instructors come from a variety of backgrounds including full-time working professionals, freelancers and academics. What they share in common is a passion for sharing their knowledge and industry insights to build talent. If you are selected to become part of our instructor pool, you will automatically be considered for instructor roles whenever relevant teaching opportunities arise. In general, we offer both online and onsite learning. Our full-time classes run from Monday to Friday, 9-5 for 10 weeks and our part-time classes are 2-3 hours in the evenings for 10 weeks. Our instructor manager will contact you to see if you are available to teach during the required times.
Key Responsibilities: 
Instruct learners on topics ranging from Introduction to Data Analytics, Interpretation of Data, Visualization, Excel, SQL and Tableau
Prepare in advance for classes using the curriculum developed by General Assembly
Review and provide feedback on assessments and classwork
Provide insights into life in the industry
Skills and Qualifications: 
Lead Instructor - Minimum 5 years working experience in data analytics either in academia or industry
Teaching Assistant - Less than 5 years with work experience in the industry and/or a relevant degree qualification e.g. computer science 
Strong communication skills
Passion for teaching and mentoring others
 Instructors Perks
Flexible Scheduling - Choose a timing that works for you, online or onsite
On-Going Training - Opportunity to train, research, and learn in the field of data analytics on-the-job
Global Connection - Collaborate with a growing network of fellow instructors and active data science communities
Competitive pay - Opportunity to earn an additional income at an industry competitive rate
All Application MUST be submitted via General Assembly (akademiga.com)",,Posted on 3-Jun-21
